strain,WBGene00000367,WBGene00001171,WBGene00001187,WBGene00001202,WBGene00002149,WBGene00002235,WBGene00002242,WBGene00003558,WBGene00004830,WBGene00004831,WBGene00006742,WBGene00007176,WBGene00014261,WBGene00022240
JU2007,7.528490534002813,6.581783385830968,7.792777004373205,6.688286562531696,6.551812422290967,7.274295744975651,6.619427074890677,6.8532027685044765,7.283464804853867,7.609451032014609,7.734290804414258,6.962810888908346,7.298015350109896,6.64863106360965
JU2016,8.033061362407867,6.655513999840848,8.510530890888512,6.8277747177251875,6.490192013709961,7.2092650860244785,6.7584927383360975,6.998751339679672,7.66098441702873,7.9927027568508535,8.102597350224308,7.062783023855963,7.420547556078728,6.8357504192131335
JU2017,7.749058768819891,6.80756492148776,8.261229758394615,6.761926863102409,6.479233613943951,7.3021344151025405,6.551921049341149,6.682440965774013,7.399805019096487,7.791766516870667,7.701986443096723,6.9984421049257115,7.114972050602438,6.66055295898786
JU2106,7.787344326634855,6.815547676644282,8.269092691303502,6.9103103483513255,6.446203897374831,7.247464175670085,6.6378347941431315,6.965274229304401,7.52313576738286,7.937108885393432,7.979466777523181,7.121944526382841,7.346026654190446,6.793254343235947
JU2131,7.952006233881379,6.821620865647252,8.757875569126652,7.086544865575656,6.513596826476631,7.3900179715145144,6.8028875640152915,6.800369312806728,7.737536496932901,8.351024240898278,8.038126140527396,7.386574576260557,7.642447407811313,6.973030870024561
JU2141,8.002409548338202,6.648898119639721,8.868078638266555,7.0337092673241735,6.551718267740512,7.629257505055698,6.881835306062549,7.09078105750924,7.968079898390348,8.498109661965474,8.126727809197497,7.281547707873437,7.787330252291768,7.177776787233608
JU2234,8.261706469501842,6.767216677900336,8.93481989106914,7.065341431934404,6.510188771803509,7.360720039299309,6.832321797751616,7.064502005947198,8.076187431057788,8.479654158781443,8.336272480793946,7.322856025459368,7.820957497726107,6.92593138239308
JU2250,7.85634316266502,6.6941590015064865,8.27835867247329,6.945658465209042,6.4623612491712255,7.165078684916785,6.787303352214298,6.8241404720072625,7.493783338884264,8.079048923665908,7.7768072244657915,7.311175799948057,7.5976896309559026,6.788546704995474
JU2257,7.672676106922513,6.746930656636563,7.958341649005967,6.955668084693824,6.514406526379313,7.243482264408561,6.477541781234603,6.847552994102753,7.385870889398633,7.867069177016172,7.899657136857106,7.106751293306476,7.25319961960882,6.7438647499509
JU2464,7.546660973783903,6.675507048452675,8.243408478600005,7.02743453863231,6.4835532934190585,7.2625502739842815,6.636368571291499,6.831665164376725,7.457185436308899,7.946559332896017,7.668691863637107,7.085832998804688,7.295525862284348,6.770655847441211
JU2466,7.833637305312192,6.7169999161316,8.387724521066213,6.868877253447183,6.39188827824223,7.181802710561001,6.729713314349628,6.906625452445265,7.652486224154644,8.03863181685794,8.077471109884945,7.138793140692289,7.249534755633473,6.846658913108033
JU2478,7.805775998667994,6.593945103180187,7.955825888763629,6.907235561078092,6.460291834871029,7.205763240121097,6.722608278425265,6.832174254371175,7.359480608523277,7.870053400090451,7.876973217398921,7.042766185159956,7.506353029419624,6.843326118039213
JU2513,7.493291873842665,6.548609140956732,7.962945904435234,6.88158362388666,6.5035210370070455,7.191598934175547,6.487105853199435,6.896284595300013,7.17426419208455,7.632996877024227,7.72454958273628,6.851254522660517,7.069805983904849,6.6381836710946285
JU2519,8.114869478114803,6.5187854112126,8.537355721482859,7.0102510967743985,6.607308150728229,7.157964104022403,6.75188390277987,7.017532881173054,7.7101687707855655,7.944295298561417,8.029749742120316,7.251172411426623,7.743213940032555,6.973819527914837
JU2522,7.680396697008955,6.6439864462152975,8.210361026042875,6.81993164000686,6.403901446997626,7.235526562194331,6.567927709259011,6.64079516536331,7.467369554060855,7.771038656126205,7.519199969865344,7.036602540357693,7.341920276703123,6.866448490724525
JU2526,8.174364201867952,7.007521887649446,8.43418577297792,7.010581580643555,6.604956527042873,7.489437275674048,6.71212190571514,6.979379404612086,7.829968231986708,8.314925736531704,8.058979743135437,7.331011579525113,7.515866229814089,6.870381373088286
JU2534,7.632974851602808,6.547238954664645,8.066094710703611,6.957457561693886,6.387742791372957,7.267688978312534,6.593901750510325,6.910795708211336,7.358606366256411,7.6701584895657495,7.72182305561283,7.150375289361893,7.110349660010893,6.606830194462323
JU2565,8.04507015705126,6.908800583758833,8.680708800382748,7.011163545039628,6.533437983873089,7.449676949685314,6.82844864597787,6.9691062739940595,7.928400546318017,8.553450231369604,8.195523087792665,7.343947796221688,7.6701733339423255,7.0492751927729405
JU2566,7.7713378988190325,6.727909764286963,8.337399336146941,6.850596592639127,6.086012053434386,7.303141849650921,6.599879252098068,6.967713621726437,7.483204447499961,8.249446514066246,7.890182030026963,7.16535270176215,7.393592295637902,6.836126684959859
JU2570,8.216863966464002,6.857280352379249,8.738290773872235,7.2028027410602125,6.531404223009768,7.441161625308548,6.7693084043901575,6.938334062419715,7.974675651471406,8.426740044388888,8.31783988422368,7.326456559632223,7.8094728430617275,7.2028860060465405
JU2572,8.174213001411053,7.088576509365917,8.738250505208832,7.1430999724289865,6.544484416429004,7.386192923762894,6.734454172685836,7.241532904260723,7.896278138801175,8.403988775706283,8.26749810216869,7.36938130948401,7.633196279200552,7.013757097561116
